Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
Guldborgsund;Juniorsgade 6-12;Juniors Stiftelse, Sakskøbing;1964;1802;Forhuset (1802). Fredet 1964.
Guldborgsund;Kirkepladsen 3;Klosterfløjen, Nykøbing;1981;;Det tidl. franciskanerklosters vestfløj (sengotik, ombygget). Fredet 1981.
Guldborgsund;Klosterstræde 1-9 og Voldgade 8;Klostret, Nykøbing;1959;1828;Vester kloster (1828), forstanderbolig (1828) med udhus, Fr. VII's kloster (1862), Chr. VIII's kloster (1848) samt de forbindende mure og gitre, bindingsværksbygningen (1. halvdel af 1800-tallet) og sygeklostret (1895) samt Chr. IX's Kloster (1876)*. Fredet 1959. Udvidet 1989.
Guldborgsund;Kogangen 8;Berritsgård;1918;1586;Hovedbygningen (1586, muligvis af Hans (I) van Steenwinckel). Fredet 1918.
Guldborgsund;Kraghave Gaabensevej 95 A og 97;Gammel Kirstineberg;1945;1700;Hovedbygningen og østre sidelænge samt hegnsmure og portpiller mod Kraghave Gåbensevej (1700-tallet). Fredet 1945.
Guldborgsund;Krenkerupvej 25-27;Krenkerup;1918;1600;Hovedbygningen (ca. 1500-1631) med foranliggende hestestald (1600-tallet og senere). Fredet 1918.
Guldborgsund;Kringelborg Allé 11 (tidl;Grønsundsvej 123);1959;1700;Kringelborg. Hovedbygningen (slutn. 1700-tallet). Fredet 1959.
Guldborgsund;Langgade 16-18;Langgade 16-18, Nykøbing F;1919;1800;"De to forhuse (nr. 16: ca. 1800; nr. 18: 1580). Fredet 1919.*"
Guldborgsund;Langgade 2, hj;af Færgestræde;1918;1700;Czarens Hus, Nykøbing. Forhuset (ca. 1700). Fredet 1918.*
Guldborgsund;Lille Kirkestræde 9-11;Det Wichfeldske Enkehuus, Nykøbing;1945;1828;Forhuset (ca. 1828). Fredet 1945.
Guldborgsund;Lundbyvej 44;Lundby Mølle;1959;1856;Vindmøllen (1856). Fredet 1959.*
Guldborgsund;Møllesøvej 2;Bøtø Nor Pumpestation;1970;1871;Pumpestationen (1871). Fredet 1970.*
Guldborgsund;Ny Østergade 11;Nysted Vandtårn;2003;1912;Vandtårnet (1912-13 af arkitekt Alf. Jørgensen og ingeniør Georg Jochimsen). Fredet 2003.
